code,name,end_date,audit_result,audit_agency,audit_sign
SZ002742,三圣股份,20201231,带强调事项段的无保留意见,天健会计师事务所,"梁正勇,王长富"
SZ000413,东旭光电,20201231,保留意见,中兴财光华会计师事务所,"齐正华,王雅栋"
SZ000040,东旭蓝天,20201231,保留意见,中兴财光华会计师事务所,"王雅栋,康利岩"
SZ000040,东旭蓝天,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"王雅栋,康利岩"
SH600052,东望时代,20201231,带强调事项段的无保留意见,天健会计师事务所,"吕瑛群,方俊鸣"
SZ002309,中利集团,20201231,保留意见,天衡会计师事务所,"骆竞,王伟庆"
SZ000540,中天金融,20201231,保留意见,信永中和会计师事务所,"谢宇春,淦涛涛"
SZ000506,中润资源,20201231,保留意见,立信会计师事务所,"强桂英,张立元"
SZ000506,中润资源,20201231,带强调事项段的无保留意见,立信会计师事务所,"强桂英,张立元"
SZ300526,中潜股份,20201231,保留意见,天健会计师事务所,"乔如林,曾宪康"
SZ002374,中锐股份,20201231,带强调事项段的无保留意见,和信会计师事务所,"王丽敏,王建英"
SH600844,丹化科技,20201231,带强调事项段的无保留意见,中兴华会计师事务所,"靳军,夏仁俊,汪军"
SH601579,会稽山,20201231,带强调事项段的无保留意见,天健会计师事务所,"叶喜撑,王俊"
SZ300489,光智科技,20201231,带强调事项段的无保留意见,中审亚太会计师事务所,"刘凤美,高凤霞"
SZ002173,创新医疗,20201231,保留意见,立信会计师事务所,"李勇平,李晶"
SZ002638,勤上股份,20201231,带强调事项段的无保留意见,大华会计师事务所,"陈勇,林万锞"
SZ000788,北大医药,20201231,保留意见,天健会计师事务所,"黄巧梅,曾丽娟"
SH600340,华夏幸福,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"王凤岐,李秀华"
SZ000068,华控赛格,20211231,带强调事项段的无保留意见,大华会计师事务所,"谢家伟,秦晓锋"
SZ002040,南京港,20201231,带强调事项段的无保留意见,天衡会计师事务所,"游世秋,倪新浩"
SZ300004,南风股份,20201231,保留意见,中兴华会计师事务所,"张少球,赵海兵"
SZ002268,卫士通,20201231,带强调事项段的无保留意见,大华会计师事务所,"钟平修,曹云华"
SZ002366,台海核电,20201231,保留意见,中喜会计师事务所,"许永乔,马国林"
SZ002383,合众思壮,20201231,带强调事项段的无保留意见,上会会计师事务所,"胡卫升,李大燕"
SZ300108,吉药控股,20201231,带强调事项段的无保留意见,中准会计师事务所,"韩波,胡莹莹"
SH603822,嘉澳环保,20201231,保留意见,大信会计师事务所,"程端世,邓英"
SZ000518,四环生物,20201231,带强调事项段的无保留意见,中审众环会计师事务所,"秦晋臣,杨军"
SH600624,复旦复华,20201231,保留意见,立信会计师事务所,"刘桢,崔志毅"
SZ300670,大烨智能,20201231,带强调事项段的无保留意见,天衡会计师事务所,"张军,赵晔"
SZ300209,天泽信息,20201231,保留意见,天健会计师事务所,"贺梦然,严芬"
SZ002466,天齐锂业,20201231,带强调事项段的无保留意见,信永中和会计师事务所,"蒋红伍,陈明坤"
SZ002433,太安堂,20201231,带强调事项段的无保留意见,中兴华会计师事务所,"戈三平,邓高峰"
SZ002193,如意集团,20201231,保留意见,大华会计师事务所,"李泰逢,陈超"
SH603779,威龙股份,20201231,带强调事项段的无保留意见,中喜会计师事务所,"王会栓,段庆利"
SZ002164,宁波东力,20201231,带强调事项段的无保留意见,立信中联会计师事务所,"舒国平,龚敏敏"
SH600077,宋都股份,20201231,带强调事项段的无保留意见,天健会计师事务所,"叶卫民,李锟"
SH600331,宏达股份,20201231,保留意见,四川华信(集团)会计师事务所,"武兴田,黄磊,王学容"
SZ000150,宜华健康,20201231,带强调事项段的无保留意见,永拓会计师事务所,"李俊杰,梁静"
SZ300310,宜通世纪,20201231,保留意见,信永中和会计师事务所,"廖朝理,张玉华"
SH603111,康尼机电,20201231,带强调事项段的无保留意见,苏亚金诚会计师事务所,"黄根进,罗九成"
SZ300391,康跃科技,20201231,保留意见,中审亚太会计师事务所,"臧其冠,曾德文"
SZ002411,延安必康,20201231,带强调事项段的无保留意见,永拓会计师事务所,"刘菊芳,徐冉"
SZ000813,德展健康,20201231,保留意见,大信会计师事务所,"许峰,张玮"
SZ300078,思创医惠,20201231,保留意见,天健会计师事务所,"胡彦龙,倪彬"
SZ300157,恒泰艾普,20201231,带强调事项段的无保留意见,立信中联会计师事务所,"陈水兵,徐凤"
SZ002168,惠程科技,20201231,保留意见,大信会计师事务所,"蔡瑜,汪云飞"
SZ002652,扬子新材,20201231,保留意见,信永中和会计师事务所,"卢秋平,周文华"
SZ002503,搜于特,20201231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"温安林,王伟"
SH600520,文一科技,20201231,保留意见,天健会计师事务所,"张扬,郑超"
SZ000620,新华联,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"谭寿成,王新英"
SZ300013,新宁物流,20201231,保留意见,上会会计师事务所,"江燕,陈嘉峰"
SZ002836,新宏泽,20201231,带强调事项段的无保留意见,天健会计师事务所,"廖屹峰,应丽"
SZ300336,新文化,20201231,带强调事项段的无保留意见,中兴华会计师事务所,"蔡海健,陶昕"
SZ300159,新研股份,20201231,保留意见,立信会计师事务所,"周琪,张艳"
SZ002574,明牌珠宝,20201231,保留意见,天健会计师事务所,"朱国刚,张春洋"
SZ002547,春兴精工,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"李俊鹏,孙玉锋"
SZ300139,晓程科技,20201231,保留意见,利安达会计师事务所,"曹忠志,任月佳"
SZ000908,景峰医药,20201231,带强调事项段的无保留意见,立信会计师事务所,"张再鸿,赵姣"
SZ002581,未名医药,20201231,保留意见,中兴财光华会计师事务所,"高术峰,张正武"
SH600532,未来股份,20201231,带强调事项段的无保留意见,中审亚太会计师事务所,"臧其冠,刘伟"
SZ300478,杭州高新,20201231,保留意见,天健会计师事务所,"边珊姗,魏晓慧"
SH600423,柳化股份,20201231,带强调事项段的无保留意见,大信会计师事务所,"陈鹏,姚翠玲"
SZ000892,欢瑞世纪,20201231,保留意见,中天运会计师事务所,"杨敏,苏红梅"
SZ300410,正业科技,20201231,保留意见,永拓会计师事务所,"杨小龙,王庆华"
SZ000663,永安林业,20201231,带强调事项段的无保留意见,致同会计师事务所,"林新田,林令群"
SZ300146,汤臣倍健,20211231,保留意见,华兴会计师事务所,"谭灏,曾永龙"
SZ000732,泰禾集团,20201231,保留意见,中兴华会计师事务所,"刘炼,苑楠"
SH600759,洲际油气,20201231,带强调事项段的无保留意见,大华会计师事务所,"李甜甜,敖都吉雅"
SZ002098,浔兴股份,20201231,带强调事项段的无保留意见,华兴会计师事务所,"林希敏,喻玉霜"
SH600070,浙江富润,20201231,带强调事项段的无保留意见,天健会计师事务所,"廖屹峰,王新华"
SZ300201,海伦哲,20201231,保留意见,中审众环会计师事务所,"刘钧,胡永波"
SH600751,海航科技,20201231,保留意见,普华永道中天会计师事务所,"杨旭东,陈如奕"
SZ300339,润和软件,20201231,带强调事项段的无保留意见,容诚会计师事务所,"褚诗炜,孔令莉,李丹"
SZ000017,深中华A,20201231,带强调事项段的无保留意见,天职国际会计师事务所,"陈志刚,张磊"
SZ000038,深大通,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"齐正华,王雅栋"
SZ000415,渤海租赁,20201231,带强调事项段的无保留意见,安永华明会计师事务所,"林扬,范伯羽"
SZ002174,游族网络,20201231,带强调事项段的无保留意见,立信会计师事务所,"冯蕾,殷薇"
SZ002740,爱迪尔,20201231,保留意见,大华会计师事务所,"徐士宝,冯雪"
SZ002069,獐子岛,20201231,保留意见,亚太(集团)会计师事务所,"周含军,曾双"
SZ002331,皖通科技,20201231,保留意见,上会会计师事务所,"张毅,陶玉露"
SZ002446,盛路通信,20201231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"王季民,陈海强"
SZ300152,科融环境,20201231,保留意见,中证天通会计师事务所,"索还锁,吴金龙"
SZ002006,精功科技,20201231,带强调事项段的无保留意见,天健会计师事务所,"朱国刚,徐文生"
SH688086,紫晶存储,20201231,保留意见,立信会计师事务所,"肖常和,郭晓清"
SZ002118,紫鑫药业,20201231,带强调事项段的无保留意见,中准会计师事务所,"刘昆,常明"
SZ300343,联创股份,20201231,保留意见,信永中和会计师事务所,"姜晓东,唐守东"
SZ002247,聚力文化,20201231,保留意见,天健会计师事务所,"宋慧娟,蒋斌"
SZ300392,腾信股份,20201231,保留意见,中兴财光华会计师事务所,"陈发勇,王军"
SH603900,莱绅通灵,20201231,带强调事项段的无保留意见,中兴华会计师事务所,"徐紫明,张小萍"
SZ300297,蓝盾股份,20201231,保留意见,大华会计师事务所,"张晓辉,熊玲"
SH600117,西宁特钢,20201231,带强调事项段的无保留意见,大华会计师事务所,"王建华,易永健"
SZ002424,贵州百灵,20201231,带强调事项段的无保留意见,天健会计师事务所,"梁正勇,王长富"
SZ002512,达华智能,20201231,保留意见,大华会计师事务所,"王建华,朱文岳"
SZ300167,迪威迅,20201231,保留意见,亚太(集团)会计师事务所,"周英,吴平权"
SH600121,郑州煤电,20201231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"吕子玲,李青青"
SZ300411,金盾股份,20201231,带强调事项段的无保留意见,天健会计师事务所,"沈培强,朱俊峰"
SZ002716,金贵银业,20201231,保留意见,天健会计师事务所,"郑生军,周毅"
SZ300020,银江技术,20201231,带强调事项段的无保留意见,中兴华会计师事务所,"高敏建,庞玉文"
SZ300221,银禧科技,20201231,保留意见,立信会计师事务所,"张帆,马玥"
SZ002435,长江健康,20201231,保留意见,和信会计师事务所,"汪泳,张良玉"
SZ002694,顾地科技,20201231,带强调事项段的无保留意见,中勤万信会计师事务所,"王永新,陈海艳"
SZ002210,飞马国际,20201231,带强调事项段的无保留意见,四川华信(集团)会计师事务所,"王小敏,邱燕,付依林"
SH603711,香飘飘,20201231,带强调事项段的无保留意见,立信会计师事务所,"陈小金,刘志勇"
SZ002348,高乐股份,20201231,带强调事项段的无保留意见,中兴财光华会计师事务所,"张宝岩,谢中梁"
SH600804,鹏博士,20201231,带强调事项段的无保留意见,四川华信(集团)会计师事务所,"张妍,董兰芳,邱由珍"
