code,name,date,close,action,strength,reason
SZ000937,冀中能源,2021-10-27,6.68,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_54; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 6.68 ,sma60 6.083166666666667; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000958,东方能源,2021-10-27,4.82,BUY_EARLY; BUY_EARLY; SELL_MUST; SELL_CHECK; ,6.9,"cross over sma5; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.82 ,sma60 4.734; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ000968,蓝焰控股,2021-10-27,9.75,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_45; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 9.75 ,sma60 9.282; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ000999,华润三九,2021-10-27,25.19,BUY_CHECK; SELL_CHECK; SELL_EARLY; SELL_MUST; SELL_CHECK; SELL_CHECK; ,10.8,"macd dea_signal over 0 n days_37; close under sma60; cross down sma60; SZ000999 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 25.19 ,sma60 26.684666666666665; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002002,鸿达兴业,2021-10-27,5.64,BUY_CHECK; SELL_CHECK; BUY_CHECK; BUY_EARLY; BUY_EARLY; SELL_MUST; BUY_CHECK; ,4.5,"macd historgram over 0 n days_2; sma21 under sma60; close great than 1.2 sma200; cross over sma21; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.64 ,sma60 5.607666666666668; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002003,伟星股份,2021-10-27,8.65,BUY_CHECK; SELL_MUST; ,1.0,"ma55 near ma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.65 ,sma60 8.438333333333334; macd dif less than 0; macd sig less than 0; "
SZ002006,精功科技,2021-10-27,17.12,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 17.12 ,sma60 16.741833333333336; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002010,传化智联,2021-10-27,8.39,SELL_EARLY; SELL_MUST; SELL_CHECK; ,3.0,"cross down sma5; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.39 ,sma60 8.312; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002015,协鑫能科,2021-10-27,14.49,BUY_CHECK; BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_2; ma55 near ma21; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 14.49 ,sma60 13.043166666666668; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002019,亿帆医药,2021-10-27,16.26,BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; BUY_CHECK; BUY_CHECK; ,2.0,"macd historgram over 0 n days_1; ma55 near ma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 16.26 ,sma60 15.622666666666667; macd dif cross over sig; macd cross over 0; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
