code,name,roe_pe,roe,pe_ttm
SZ002149,西部材料,0.06,3.6252,62.6992
SZ002890,弘宇股份,0.06,4.2885,71.0792
SZ002881,美格智能,0.06,4.853,85.4219
SH600059,古越龙山,0.06,3.5647,56.3542
SH600641,万业企业,0.06,4.8729,76.8922
SH688005,容百科技,0.06,4.8444,79.0684
SH603633,徕木股份,0.06,4.6584,76.6012
SH600889,南京化纤,0.06,0.7915,14.2379
SZ300103,达刚控股,0.06,6.3297,109.5553
SH601226,华电重工,0.06,2.6412,43.1127
SH600679,上海凤凰,0.06,3.707,61.0228
SH603656,泰禾智能,0.06,4.5846,77.0807
SH688033,天宜上佳,0.06,4.8033,83.7968
SZ002023,海特高新,0.06,0.892,13.894
SH600884,杉杉股份,0.06,1.1391,20.43
SH603990,麦迪科技,0.06,4.1087,71.6257
SH600880,博瑞传播,0.06,2.9569,53.7566
SZ002162,悦心健康,0.06,5.6834,91.982
SH600129,太极集团,0.06,2.0613,32.4409
SH603988,中电电机,0.06,23.591,405.305
SH600526,菲达环保,0.06,2.5853,43.5421
SH688118,普元信息,0.06,3.2321,52.3983
SZ300232,洲明科技,0.06,3.6233,56.8591
SZ300491,通合科技,0.06,6.0508,98.7474
SH603110,东方材料,0.06,7.777,125.8189
SZ300668,杰恩设计,0.06,4.2438,70.6029
SZ000631,顺发恒业,0.06,3.8764,63.0765
SZ000629,攀钢钒钛,0.06,2.3952,38.1342
SZ000627,天茂集团,0.06,2.7399,44.541
SZ000681,视觉中国,0.06,4.5371,78.3019
SZ300849,锦盛新材,0.06,6.4644,112.5612
SZ300711,广哈通信,0.06,5.26,93.1181
SZ300597,吉大通信,0.06,3.7199,66.2293
SZ300589,江龙船艇,0.06,9.4904,154.5828
SZ300585,奥联电子,0.06,6.164,109.7624
SZ000683,远兴能源,0.06,0.6666,11.3673
SZ300912,凯龙高科,0.06,10.5862,167.4459
SZ000025,特力A,0.06,4.4675,74.2006
SZ300839,博汇股份,0.06,9.1705,149.6802
SZ300474,景嘉微,0.06,8.4926,143.9491
SZ000567,海德股份,0.06,2.9762,47.3184
SZ300766,每日互动,0.06,4.3044,67.0085
SZ000004,国华网安,0.06,4.5404,72.0943
SH603038,华立股份,0.06,3.1407,52.5464
SZ000909,数源科技,0.05,2.9856,62.1817
SZ000519,中兵红箭,0.05,3.287,61.949
