code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ000409,云鼎科技,20211231,-18754239.8,34892871.72,-36277077.34,-5384203.35,-18754239.8,388232223.37,321905501.83,0.0,34401413.14,123361472.03,1273584.9,0.0
SZ000488,晨鸣纸业,20211231,8581888192.64,2089684021.45,165721216.63,-9940496038.1,8581888192.64,2656517150.46,3871131345.34,0.0,2252864083.0,14119782939.66,0.0,26946905.38
SZ000509,*ST华塑,20211231,-141614920.85,-1641143.91,-96355473.26,107894815.72,-141614920.85,67486361.62,111554838.29,0.0,9506582.0,28895248.01,0.0,24014575.17
SZ000513,丽珠集团,20211231,1902328139.03,1952101168.93,-1876900322.5,-815017505.16,1902328139.03,1951898111.2,790679701.29,1342029380.44,47768970.54,9146373455.01,574499574.42,103040497.85
SZ000521,长虹美菱,20211231,160923258.1,87092653.5,17923950.64,-750485018.98,160923258.1,1440874691.28,2299103796.88,2216752.22,111652635.86,5938823396.21,87728990.86,0.0
SZ000524,岭南控股,20211231,-98940052.64,-144621565.5,-86438285.6,-46079952.13,-98940052.64,71411883.23,265853629.96,0.0,33300245.96,1409577617.97,395218.87,69313532.7
SZ000528,柳工,20211231,846491366.35,1017750977.17,-885906860.04,-2666068276.81,846491366.35,6266992275.33,5451742695.09,345690724.48,575645714.66,6406523074.36,50033535.89,166631074.09
SZ000532,华金资本,20211231,192156066.2,198650174.56,-239635114.2,-67505976.74,192156066.2,163280260.25,184236566.29,43372878.81,5982327.07,327725800.23,0.0,0.0
SZ000533,顺钠股份,20211231,54404582.74,-20341054.08,-5474925.19,-100565504.93,54404582.74,1031689364.92,322286808.82,99058221.57,17588883.06,211967150.41,0.0,10677577.24
SZ000534,万泽股份,20211231,136667738.73,88870830.43,-76212993.53,-128693872.96,136667738.73,128991111.94,201538275.45,8196940.72,8559363.13,320699167.97,27498384.95,0.0
SZ000544,中原环保,20211231,-2685330500.48,540357054.07,-67797694.18,2726172183.13,-2685330500.48,665947768.91,2320913086.65,12453152.47,37267158.28,2589460461.21,0.0,0.0
SZ000548,湖南投资,20211231,-395643386.59,51888290.98,-25706354.88,402382231.62,-395643386.59,22648938.99,131711467.42,0.0,43739992.29,396875661.57,0.0,0.0
SZ000550,江铃汽车,20211231,1760193010.0,574165944.0,-78637899.0,-3234458926.0,1760193010.0,2994798227.0,9702584830.0,119783900.0,399983736.0,9569051314.0,111004350.0,0.0
