code,name,p_total_ratio_sum
SZ300522,世名科技,94.52
SH603619,中曼石油,94.47
SH600117,西宁特钢,94.38
SH603668,天马科技,94.31
SZ300083,创世纪,94.26
SH603600,永艺股份,93.96
SZ002727,一心堂,93.51
SZ002269,美邦服饰,93.32
SH600191,*ST华资,93.05
SZ300262,巴安水务,93.0
SZ300635,中达安,92.94
SH603399,吉翔股份,92.89
SH603906,龙蟠科技,92.68
SH603887,城地香江,92.63
SH601086,国芳集团,92.6
SZ002927,泰永长征,92.43
SZ300352,北信源,92.41
SZ300451,创业慧康,92.36
SZ002886,沃特股份,92.3
SZ002512,达华智能,92.29
SZ002848,高斯贝尔,92.22
SZ002085,万丰奥威,92.15
SH603456,九洲药业,92.04
SH600836,上海易连,92.0
SH600603,广汇物流,91.78
SH603955,大千生态,91.72
SH600382,*ST广珠,91.69
SZ002674,兴业科技,91.68
SZ300510,金冠股份,91.67
SZ002592,ST八菱,91.67
SH605168,三人行,91.17
SH600594,益佰制药,91.07
SZ300190,维尔利,91.03
SZ002706,良信股份,90.96
SH603316,诚邦股份,90.77
SH600295,鄂尔多斯,90.55
SH600803,新奥股份,90.49
SZ002582,好想你,90.19
SZ300011,鼎汉技术,90.09
SH603520,司太立,89.87
SH600179,安通控股,89.87
SH600993,马应龙,89.78
SH603816,顾家家居,89.63
SZ300384,三联虹普,89.62
SZ300706,阿石创,89.59
SZ002712,思美传媒,89.57
SZ300321,同大股份,89.35
SZ300560,中富通,89.25
SZ300666,江丰电子,88.71
SH600389,江山股份,88.68
SH603787,新日股份,88.65
SZ300612,宣亚国际,88.44
SH603012,创力集团,88.4
SZ000932,华菱钢铁,88.34
SH600641,万业企业,88.25
SZ300466,赛摩智能,88.17
SH600105,永鼎股份,88.15
SZ002856,美芝股份,88.05
SZ002873,新天药业,87.92
SZ002357,富临运业,87.91
SZ002681,奋达科技,87.75
SH601058,赛轮轮胎,87.64
SH601360,三六零,87.56
SZ002893,华通热力,87.51
SH600220,江苏阳光,87.44
SZ002333,罗普斯金,87.43
SZ002073,软控股份,87.32
SH603855,华荣股份,87.3
SZ002700,ST浩源,86.95
SH603679,华体科技,86.92
SZ300461,田中精机,86.82
SH603360,百傲化学,86.66
SZ002774,快意电梯,86.6
SH603283,赛腾股份,86.33
SH600318,新力金融,86.23
SH603077,和邦生物,86.15
SZ300700,岱勒新材,86.06
SZ002717,岭南股份,85.77
SH600093,*ST易见,85.7
SH603007,ST花王,85.61
SZ000715,中兴商业,85.49
SH603300,华铁应急,85.34
SZ002375,亚厦股份,85.27
SZ002164,宁波东力,85.13
SH600243,青海华鼎,84.96
SH603222,济民医疗,84.93
SZ002671,龙泉股份,84.44
SZ000889,中嘉博创,84.42
SH603861,白云电器,84.26
SZ002370,亚太药业,84.04
SZ300537,广信材料,84.0
SZ002691,冀凯股份,83.7
SZ002757,南兴股份,83.66
SZ002735,王子新材,83.56
SZ000048,京基智农,83.49
SH600078,*ST澄星,83.46
SZ300550,和仁科技,83.41
SZ300471,厚普股份,83.33
SZ300489,中飞股份,83.32
SZ002388,新亚制程,83.18
SH600143,金发科技,83.07
SH601155,新城控股,82.87
SH600439,瑞贝卡,82.82
SH603330,上海天洋,82.76
SH600645,中源协和,82.66
SH603988,中电电机,82.46
SZ300250,初灵信息,82.44
SZ002775,文科园林,82.44
SZ000882,华联股份,82.34
SH603737,三棵树,82.32
SZ002803,吉宏股份,82.31
SZ300409,道氏技术,82.13
SZ300619,金银河,82.09
SH603633,徕木股份,81.86
SZ300645,正元智慧,81.81
SZ300065,海兰信,81.71
SZ300650,太龙照明,81.54
SZ002923,润都股份,81.54
SH601011,宝泰隆,81.41
SH603108,润达医疗,81.06
SH603499,翔港科技,81.05
SZ000593,大通燃气,80.84
SZ002364,中恒电气,80.81
SZ002004,华邦健康,80.65
SZ300068,南都电源,80.63
SZ002100,天康生物,80.32
SZ002242,九阳股份,80.2
SH600241,ST时万,80.14
SH603016,新宏泰,80.11
SH603380,易德龙,80.06
SZ300473,德尔股份,79.81
SZ002231,奥维通信,79.77
SZ002779,中坚科技,79.69
SH600873,梅花生物,79.64
SZ002625,光启技术,79.62
SH603021,山东华鹏,79.59
SZ002696,百洋股份,79.53
SH603828,柯利达,79.16
SZ002221,东华能源,79.15
SH600569,安阳钢铁,78.98
SH600732,爱旭股份,78.97
SH600340,华夏幸福,78.94
SH600525,长园集团,78.84
SZ300113,顺网科技,78.68
SZ002325,洪涛股份,78.62
SZ000668,荣丰控股,78.56
SZ002579,中京电子,78.52
SH600763,通策医疗,78.5
SH600217,中再资环,78.29
SZ000935,四川双马,78.26
SZ002330,得利斯,78.18
SH603196,日播时尚,78.17
SH600393,ST粤泰,78.12
SH600152,维科技术,78.01
SZ002664,长鹰信质,78.0
SZ002660,茂硕电源,77.9
SZ300166,东方国信,77.8
SH603378,亚士创能,77.77
SZ002542,中化岩土,77.74
SH600532,未来股份,77.73
SZ002485,雪松发展,77.64
SZ000004,国华网安,77.58
SZ002898,赛隆药业,77.28
SZ002403,爱仕达,77.26
SH600051,宁波联合,77.2
SH600438,通威股份,77.2
SZ300426,唐德影视,77.12
SZ000672,上峰水泥,76.9
SZ300234,开尔新材,76.83
SZ002545,东方铁塔,76.75
SH601579,会稽山,76.73
SZ300632,光莆股份,76.72
SH603015,弘讯科技,76.71
SH603009,北特科技,76.67
SH600403,ST大有,76.42
SH600055,万东医疗,76.41
SZ002753,永东股份,76.31
SZ300634,彩讯股份,76.3
SZ002412,汉森制药,76.15
SZ000555,神州信息,76.08
SH600293,三峡新材,76.01
SH601127,小康股份,75.95
SZ300742,越博动力,75.95
SH600070,浙江富润,75.95
SZ000813,德展健康,75.85
SZ002653,海思科,75.73
SZ300826,测绘股份,75.72
SZ002488,金固股份,75.5
SZ002145,中核钛白,75.42
SZ002685,华东重机,75.3
SH600162,香江控股,75.29
SZ002571,德力股份,75.22
SH600487,亨通光电,75.14
SZ002721,金一文化,75.08
SZ000881,中广核技,74.94
SZ002630,华西能源,74.91
SH603557,ST起步,74.6
SZ002661,克明食品,74.42
SH600079,人福医药,74.36
SH600572,康恩贝,74.34
SZ002731,萃华珠宝,74.28
SZ300350,华鹏飞,74.27
SZ300008,天海防务,74.15
SZ300499,高澜股份,74.11
SZ300211,亿通科技,74.01
SZ002929,润建股份,74.0
SZ002506,协鑫集成,73.99
SH603377,东方时尚,73.99
SZ300385,雪浪环境,73.91
SZ300040,九洲集团,73.84
SZ300058,蓝色光标,73.72
SZ002688,金河生物,73.43
SZ002191,劲嘉股份,73.38
SZ002949,华阳国际,73.06
SZ002652,扬子新材,72.97
SH603703,盛洋科技,72.75
SZ300687,赛意信息,72.57
SZ002213,大为股份,72.57
SH603488,展鹏科技,72.56
SZ300472,新元科技,72.55
SH603368,柳药股份,72.52
SH603266,天龙股份,72.43
SZ000576,甘化科工,72.27
SZ300149,睿智医药,72.2
SZ002838,道恩股份,71.97
SH601515,东风股份,71.94
SZ300273,和佳医疗,71.92
SH600273,嘉化能源,71.91
SZ300414,中光防雷,71.85
SH600965,福成股份,71.7
SZ002857,三晖电气,71.5
SZ300507,苏奥传感,71.49
SZ300615,欣天科技,71.48
SH600515,*ST基础,71.18
SZ300160,秀强股份,71.15
SZ300427,红相股份,71.03
SZ000687,*ST华讯,70.86
SZ002707,众信旅游,70.8
SH600499,科达制造,70.75
SZ002294,信立泰,70.71
SZ000933,神火股份,70.48
SZ002324,普利特,70.45
SZ300119,瑞普生物,70.39
SH600682,南京新百,70.22
SZ002119,康强电子,70.18
SZ300391,康跃科技,70.02
