code,name,ann_date,M_8v,M_5v,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI
SH600714,金瑞矿业,20191231,0.6802100857238074,1.8271413593603392,1.0493681449286336,6.458796725413786,0.5819709847872252,1.024182954408276,0.9102202856974348,1.131155562369461,0.0962739048547095,1.115360638403916
SH600193,ST创兴,20191231,0.7050329275441863,-1.4257869650889703,2.967146633814078,-0.7834162599782782,0.3639873905007942,3.5325611440064084,1.4797721869420466,1.2814529292007546,0.1396557892751549,2.0562904348823468
SH600179,*ST安通,20191231,0.7285143565345493,3.892905364920015,0.755429403103958,8.828218174813886,1.300269021694394,0.622324956372781,1.1266801514020397,1.8883756529302616,-0.0299465952385456,1.6295104662322737
SZ002350,北京科锐,20191231,0.729426484787707,2.208990683634715,0.76678288988527,6.541394816583675,1.337183959553888,1.1522533170932396,0.9094293931123368,0.8883410569154283,0.0363465506214484,0.8555282701715142
SH603636,南威软件,20191231,0.7414016861828379,0.844005042170911,1.7004195844437793,4.417519904817467,0.9917872400218062,1.1454064743246426,0.9149571493958564,1.003561153614498,0.1466754200325789,1.0908908422223835
SH600684,珠江实业,20191231,0.7682861223462342,2.6482530648225757,1.2800448355409872,7.072391687420974,0.5632561194048434,1.1267184711562692,1.0310399415217129,1.445178443919514,-0.0114019582074466,1.078946251647998
SZ002135,东南网架,20191231,0.7808288148300937,2.3487941343966394,1.0568746918628973,6.307749891015549,1.6068382311389533,1.0668258536115645,1.0410808750326834,0.9971368597915916,0.0212967805285678,1.011081185869749
SH603699,纽威股份,20191231,0.7863100294133212,2.5570355585579057,1.0268949359738622,6.49516147773393,1.597768485674312,1.1641346149018854,1.0291915564014722,0.8704781145842907,-0.0126942399599997,1.042885508060808
SH603011,合锻智能,20191231,0.7906356582696368,2.7739993385114823,1.1958230134413543,7.2658966780510035,0.9679046522798996,0.8179590720946407,1.0419672396373916,1.4320340226110393,0.0366279153780082,1.441793054005322
SZ300101,振芯科技,20191231,0.8175693367578201,2.959888007791082,1.3267120867642346,7.180119885227047,1.0233501425132,0.9564431351030614,1.2635418877494384,1.1042635230800395,-0.0432635102443868,1.1426111414078066
SH603086,先达股份,20191231,0.819266279954399,2.6455494027669606,0.7618661303655124,7.199685150036749,1.1352114421508526,1.1414455835086592,0.6450650745017412,0.9027596428631812,0.0541357885283325,1.5048574368172627
