code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SH600321,正源股份,20211231,227329478.7,43107060.57,-22922115.67,52190665.31,227329478.7,361692445.85,478338640.78,0.0,8408188.93,319871050.64,0.0,0.0
SH600323,瀚蓝环境,20211231,878287327.91,1186084484.86,-2007936108.36,1422302949.81,878287327.91,1730666290.38,3144569631.71,0.0,115480979.95,1306970050.8,0.0,413104076.2
SH600329,中新药业,20211231,852401231.63,786876798.9,-311851997.16,-244701910.06,852401231.63,1536992972.81,598612153.46,334394989.58,25184416.49,2283181481.69,4720301.76,0.0
SH600330,天通股份,20211231,563736292.39,421176603.35,-240969516.57,-171297624.98,563736292.39,1614375735.94,1185609103.59,20125848.79,24721333.0,573395768.02,0.0,98216201.55
SH600332,白云山,20211231,5673496754.37,3968985718.97,-931568821.98,-1493979493.04,5673496754.37,12816537107.4,11287152869.54,1222097099.65,834947434.77,22376927861.43,10567467.71,829473066.9
SH600353,旭光电子,20211231,24607898.5,78995216.44,-57985750.84,2592592.26,24607898.5,475625934.92,248064584.93,207356830.03,7594671.34,197982732.15,5195759.76,57454553.86
SH600354,敦煌种业,20211231,111667157.93,42041503.37,6168365.96,-130641128.17,111667157.93,102113627.14,89166355.73,0.0,22392307.29,514983656.84,1319112.0,584464.73
SH600355,精伦电子,20211231,-6212870.19,-9339636.3,-3221099.32,-12386057.97,-6212870.19,18416400.46,33533644.56,0.0,213910.55,62441546.66,0.0,0.0
SH600358,国旅联合,20211231,-57965978.97,20753490.67,-10729680.49,108853094.41,-57965978.97,223190953.96,28852297.2,0.0,36434030.21,85759053.81,0.0,37805336.52
SH600361,华联综超,20211231,463138460.76,-281119292.01,-201514925.79,-1002738760.01,463138460.76,47290769.51,2423469802.75,0.0,66239557.16,2295140498.58,0.0,116216691.85
SH600366,宁波韵升,20211231,-996053349.65,510230864.82,699892421.27,366563304.42,-996053349.65,1004215564.05,438880164.24,0.0,25318071.8,366498183.8,0.0,0.0
SH600370,三房巷,20211231,-72694186.73,637141712.94,-609999834.26,-2232146281.49,-72694186.73,1939150305.54,2492330624.78,155547485.59,1085556.64,1606498644.41,0.0,0.0
SH600372,中航电子,20211231,1549833363.72,817722463.05,-839775773.68,-716534822.66,1549833363.72,6488292687.39,4812752043.0,2132985933.25,79293592.99,3940252497.35,0.0,0.0
SH600375,汉马科技,20211231,363184288.73,-1344610361.56,-145507530.05,-151428076.41,363184288.73,2246188437.39,2491408206.5,12031535.45,40557572.25,1850565239.66,307716688.46,0.0
SH600379,宝光股份,20211231,187292279.23,52162767.57,-56623267.57,-13291927.88,187292279.23,190134815.47,182758712.21,59922371.21,4587555.47,282341153.46,0.0,0.0
SH600380,健康元,20211231,2563089045.24,2612849038.67,-1964157731.17,-974904353.44,2563089045.24,2853655551.54,871553210.51,1977286022.02,87687951.48,11729230390.98,786993435.71,614468698.73
SH600386,北巴传媒,20211231,492265559.77,189327139.79,-155608726.42,-336371527.1,492265559.77,238774740.02,106333839.69,10580000.0,22450756.42,937525527.08,0.0,0.0
SH600418,江淮汽车,20211231,1724648184.9,13040502.53,-1031901263.39,2652454854.78,1724648184.9,2182106279.03,7530782693.91,0.0,1829695427.47,10397770394.48,516089711.28,0.0
SH600420,国药现代,20211231,1679662393.87,821145853.02,-508278083.39,-662406273.41,1679662393.87,2295471908.58,1089359079.69,207569483.44,96907594.29,4284240287.88,126760148.62,160151939.27
SH600421,华嵘控股,20211231,-6119029.16,-10315038.58,-4066702.44,-5777010.55,-6119029.16,55562260.52,14877814.92,8976918.88,1027773.86,16310210.5,0.0,0.0
SH600422,昆药集团,20211231,251628491.48,513214060.27,19375489.63,-219445225.34,251628491.48,1865688639.1,628378161.3,145164578.54,137329691.71,1574252238.43,199882330.07,91727481.11
SH600428,中远海特,20211231,1685628598.08,306619225.9,-611913628.46,-590684766.96,1685628598.08,516089794.97,1703372254.03,11514538.01,134417855.14,1914024770.5,0.0,0.0
SH600433,冠豪高新,20211231,1172987339.78,396821212.82,-214419470.79,-682401015.41,1172987339.78,768802225.54,560160110.36,0.0,20939335.15,1307762858.06,0.0,11547305.29
SH600435,北方导航,20211231,310499547.5,217549600.62,-583788013.08,-129999330.29,310499547.5,2039106771.22,1916058014.86,659062538.33,3633337.04,1470711984.69,0.0,60249485.5
SH600458,时代新材,20211231,256369314.21,217877650.37,-360770414.57,-139568559.58,256369314.21,2257504052.32,3291642969.82,1104706145.6,85316779.64,2109892976.09,16182226.37,2598219.11
SH600460,士兰微,20211231,959754525.58,1518001610.94,-1193486240.03,1453359897.44,959754525.58,1733808749.61,1318962576.56,80404925.11,22826386.42,2323436127.95,11016863.73,619947.54
SH600481,双良节能,20211231,91821191.82,339617854.03,-849334677.65,754487229.56,91821191.82,1075433006.71,979888468.52,10757086.49,52359952.93,1911842855.07,8203421.3,0.0
SH600486,扬农化工,20211231,1454021876.52,1223015308.27,-1137997676.67,-142077130.91,1454021876.52,2041263712.7,1517958063.66,778826839.13,48394091.48,2271700072.62,2602702.51,15514588.54
SH600488,天药股份,20211231,316889762.44,108667649.4,-376955745.68,92693457.29,316889762.44,501074055.15,504937503.81,1928991.5,27043700.58,232215872.32,149567793.35,0.0
SH600495,晋西车轴,20211231,83786194.99,10805818.1,-64727691.94,-8457336.2,83786194.99,282376647.83,311948125.13,76202764.31,13199048.76,719569211.49,0.0,0.0
SH600502,安徽建工,20211231,-5491885424.45,1413222550.75,-1220056718.79,7075855828.25,-5491885424.45,27737940936.73,32690284936.57,758676218.68,3356951302.03,12501561998.94,0.0,685109.49
SH600511,国药股份,20211231,1957451032.0,1928502575.98,-122991471.69,-745962105.69,1957451032.0,5711764028.31,8306743755.09,42460790.04,149715322.7,7304451695.06,67556499.33,203770428.49
SH600523,贵航股份,20211231,233241350.39,161077473.13,-94999649.95,-104398544.77,233241350.39,566728352.94,133915027.26,222381335.88,2637952.81,633383910.1,0.0,460038.82
SH600526,菲达环保,20211231,158128938.86,50459818.1,-394819655.01,74243437.48,158128938.86,588110227.3,1557777024.38,5009072.49,60702387.88,805781556.65,0.0,1799586.07
SH600528,中铁工业,20211231,1627227422.11,1858547307.95,-1472020232.4,-419755188.21,1627227422.11,9952497450.05,10661514275.84,199490077.33,0.0,7511193621.2,134482556.07,0.0
SH600538,国发股份,20211231,-6338055.4,9926729.25,-88000677.22,63976236.08,-6338055.4,194704331.66,49639558.59,9261889.81,9239692.78,190402776.13,0.0,254096045.37
SH600547,山东黄金,20211231,1822242735.09,-195411381.3,-2606909924.52,2140804601.79,1822242735.09,118238363.98,3138512580.44,0.0,2560651662.88,5007717135.61,26445571.54,3065872278.02
SH600549,厦门钨业,20211231,989141199.44,1694950347.65,-1475307113.16,886801120.81,989141199.44,5100930320.61,4707340503.52,36527133.48,537773124.47,1550502098.9,0.0,17404465.56
SH600552,凯盛科技,20211231,492542047.56,248022614.41,-220986880.19,-371628991.96,492542047.56,1163012693.95,718081863.37,16220491.39,57853700.88,639884318.18,21432998.08,196264229.88
SH600557,康缘药业,20211231,908295889.33,324350579.5,-296756402.7,-442913468.96,908295889.33,732061053.66,320562276.1,0.0,11749014.71,937438231.85,151115796.65,58988858.14
SH600558,大西洋,20211231,106135494.71,99099648.64,-94497399.14,-11584406.37,106135494.71,164817266.94,203535655.87,74099898.55,52120820.71,308383436.79,0.0,0.0
