code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ300458,全志科技,20181231,-69798480.68,107744751.9,27167141.19,-31140511.92,-69798480.68,45873808.86,134775104.53,689361.5,2265804.71,1345345764.84,0.0,469600.09
SZ300463,迈克生物,20181231,193905904.1,482919635.68,-419007879.89,277347599.63,193905904.1,1478932476.91,199377153.05,68481152.97,31738290.0,441648539.44,74715061.5,21317610.03
SZ300469,信息发展,20181231,4012417.86,51351733.19,-64229878.86,45288130.58,4012417.86,354806506.77,178913005.63,0.0,52280954.83,213633815.74,0.0,10737367.68
SZ300470,中密控股,20181231,52554609.76,170920227.68,-257048465.74,107114285.5,52554609.76,329083402.22,109535884.3,153793184.81,4224729.26,298280349.0,0.0,89109522.92
SZ300471,厚普股份,20181231,-264436400.05,-484196295.45,-49253745.09,-87461866.62,-264436400.05,373074561.69,238677919.43,29453803.2,67519392.32,83551793.49,0.0,15428390.73
SZ300474,景嘉微,20181231,25558405.05,142287052.35,-40042528.47,1050293667.11,25558405.05,255144394.97,66622362.38,204821632.56,29623962.33,1390294302.62,0.0,0.0
SZ300475,香农芯创,20181231,8258630.47,23413212.73,-143972207.46,-7399649.02,8258630.47,69611521.81,78323110.52,188499366.77,4010729.04,233425744.79,0.0,0.0
SZ300477,合纵科技,20181231,-181883238.44,50249626.69,-371080633.7,563182216.78,-181883238.44,1222601969.89,1128079925.75,100328986.72,22957944.22,302221818.23,10388352.84,405390278.37
SZ300478,杭州高新,20181231,-50804238.74,20619641.43,101821654.62,188687365.2,-50804238.74,166610464.72,54662886.86,60621202.88,98041808.0,336736112.87,0.0,0.0
SZ300479,神思电子,20181231,3981802.04,22923038.99,-84745051.34,69245913.1,3981802.04,211066818.15,35647149.63,2400000.0,7375295.6,112216654.33,3599272.36,177207170.06
SZ300480,光力科技,20181231,7769027.66,41563958.61,-46521563.87,5475469.91,7769027.66,174496352.79,28649970.59,45600254.32,7673180.7,177765418.75,0.0,179652384.38
SZ300483,首华燃气,20181231,6448785.93,39546597.76,-504259466.67,339173504.04,6448785.93,309573530.07,141178930.73,59400000.0,22746119.34,271473677.13,0.0,396178329.78
SZ300484,蓝海华腾,20181231,-5972336.59,24519516.4,-26857261.7,-24486014.28,-5972336.59,322898523.41,175046057.45,184675705.45,22289771.67,187388092.89,0.0,0.0
SZ300486,东杰智能,20181231,8914273.69,63273226.21,-87447611.57,52279026.67,8914273.69,310007647.61,271839463.42,43676518.52,21590647.7,119518750.03,0.0,288832665.62
SZ300487,蓝晓科技,20181231,19622371.65,141700439.03,-7304450.05,111413090.58,19622371.65,164988423.43,220811884.92,69755230.24,3801657.03,652298724.76,0.0,0.0
SZ300490,华自科技,20181231,-112638377.88,98724451.04,-443650494.69,536031655.3,-112638377.88,876775557.61,330161301.69,36512048.64,37773619.98,188714536.5,0.0,694126126.32
SZ300491,通合科技,20181231,-34509914.47,-14165214.25,-29894435.34,-18105625.92,-34509914.47,113309205.75,63644590.72,32152154.3,28054505.92,104391806.76,3503551.47,0.0
SZ300493,润欣科技,20181231,-36568488.31,16206282.93,-148712487.91,225588959.54,-36568488.31,344404809.75,113504799.21,113715112.93,28451981.92,199678396.43,0.0,0.0
SZ300494,盛天网络,20181231,735027.67,53441487.33,-256106732.12,13406260.35,735027.67,89280368.71,42235626.44,0.0,5941216.89,533699804.84,0.0,0.0
SZ300495,*ST美尚,20181231,163568677.2,386753106.14,-232151735.13,26776139.44,163568677.2,1789092356.92,1973865866.56,127343512.39,114793353.37,1451072119.77,0.0,732472613.54
SZ300501,海顺新材,20181231,27489667.33,64363749.96,-100847817.35,-8014266.62,27489667.33,158706123.07,48223826.21,45056570.27,20730651.73,63922255.28,0.0,4459367.15
SZ300506,名家汇,20181231,-200999224.31,344013275.91,-310220902.22,889062786.0,-200999224.31,869195048.95,497629914.8,5171863.31,29341703.29,576191738.84,0.0,182339590.0
SZ300507,苏奥传感,20181231,10584799.1,95160454.16,-29223473.72,8826554.37,10584799.1,174409579.43,99217877.14,79263322.62,803622.17,384578003.78,0.0,0.0
SZ300512,中亚股份,20181231,-23242085.09,185416229.6,246649975.72,-261397941.85,-23242085.09,153044406.03,190185640.75,4890765.15,5083171.42,240667118.55,0.0,47650598.18
SZ300520,科大国创,20181231,-18299281.46,51229523.75,-31243502.87,3136561.23,-18299281.46,426833898.16,171260417.26,40613240.66,28794785.48,466171723.91,0.0,578814214.02
SZ300523,辰安科技,20181231,16955630.34,178041524.75,200788194.51,-55944175.89,16955630.34,728111469.9,266485505.37,7267138.7,45975344.66,498955256.74,23385502.49,89668668.68
SZ300527,中船应急,20181231,-502764973.07,239695320.58,-134271519.96,566042055.12,-502764973.07,1064110147.78,787206161.95,19660942.58,23177390.38,1601673215.48,0.0,0.0
SZ300531,优博讯,20181231,-27279864.12,130522436.45,-49231457.29,134076330.17,-27279864.12,275781157.45,102678836.39,40987297.99,3774583.43,384387337.42,0.0,84663192.09
SZ300533,冰川网络,20181231,49723575.6,99680666.41,-267845186.96,-13964887.0,49723575.6,17694438.89,619294.77,0.0,2328114.0,712181356.23,0.0,58000.0
SZ300535,达威股份,20181231,-776832.67,41238310.64,-49947235.4,-11718334.74,-776832.67,182832133.49,30377460.41,17931305.68,1812383.43,41829586.58,0.0,0.0
SZ300540,深冷股份,20181231,-68956591.51,-115812236.33,-65378622.35,87656996.65,-68956591.51,433245693.63,129967803.03,88193092.16,2964887.88,214420765.61,0.0,0.0
SZ300542,新晨科技,20181231,23850490.81,48689149.78,-69157325.99,138415981.98,23850490.81,330364990.65,110145375.54,100000.0,27134801.83,410845981.88,0.0,152727059.26
SZ300543,朗科智能,20181231,-94416520.24,44574584.04,1746920.26,-35999836.1,-94416520.24,208687306.64,282751026.44,25509230.14,9157135.14,205411553.36,0.0,0.0
SZ300545,联得装备,20181231,-106315045.38,85270352.13,-290033019.45,-11863181.16,-106315045.38,253099237.57,111554206.08,911195.47,9538753.19,204231697.37,0.0,0.0
SZ300546,雄帝科技,20181231,9590951.9,107841702.67,-96901187.64,-24065411.98,9590951.9,215659752.25,61934783.08,12101301.36,17990211.34,419348404.25,0.0,0.0
SZ300550,和仁科技,20181231,18228433.35,38594312.63,105510582.58,118827489.58,18228433.35,311603506.03,135976086.79,8039160.0,22521450.76,365191329.76,1635147.41,926638.8
SZ300552,万集科技,20181231,-24733402.43,6188765.73,28854338.81,12900839.14,-24733402.43,543485671.68,236662130.88,1588500.0,18106656.92,212791227.23,3516090.51,0.0
